period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,ICE,TOTAL,notes
2015-01,monthly,Whole,ANAC,0.0,0.0,11.0,,,11.0,18211.0,18233.0,
2015-02,monthly,Whole,ANAC,0.7185430463576159,0.2814569536423841,8.0,,,8.0,21452.0,21469.0,
2015-03,monthly,Whole,ANAC,2.8741721854304636,1.1258278145695364,15.0,,,15.0,23050.0,23084.0,
2015-04,monthly,Whole,ANAC,3.5927152317880795,1.4072847682119205,15.0,,,15.0,21149.0,21184.0,
2015-05,monthly,Whole,ANAC,2.8741721854304636,1.1258278145695364,9.0,,,9.0,22610.0,22632.0,
2015-06,monthly,Whole,ANAC,2.1556291390728477,0.8443708609271523,18.0,,,18.0,22208.0,22247.0,
2015-07,monthly,Whole,ANAC,3.5927152317880795,1.4072847682119205,19.0,,,19.0,24331.0,24374.0,
2015-08,monthly,Whole,ANAC,3.5927152317880795,1.4072847682119205,21.0,,,21.0,28622.0,28669.0,
2015-09,monthly,Whole,ANAC,1.4370860927152318,0.5629139072847682,19.0,,,19.0,22847.0,22887.0,
2015-10,monthly,Whole,ANAC,0.0,0.0,6.0,,,6.0,23715.0,23727.0,
2015-11,monthly,Whole,ANAC,0.0,0.0,13.0,,,13.0,29809.0,29835.0,
2015-12,monthly,Whole,ANAC,2.1556291390728477,0.8443708609271523,17.0,,,17.0,25447.0,25484.0,
2016-01,monthly,Whole,ANAC,0.0,0.0,12.0,,,12.0,21547.0,21571.0,
2016-02,monthly,Whole,ANAC,0.0,0.0,10.0,,,10.0,23033.0,23053.0,
2016-03,monthly,Whole,ANAC,2.1556291390728477,0.8443708609271523,13.0,,,13.0,22372.0,22401.0,
2016-04,monthly,Whole,ANAC,2.8741721854304636,1.1258278145695364,16.0,,,16.0,23966.0,24002.0,
2016-05,monthly,Whole,ANAC,2.8741721854304636,1.1258278145695364,10.0,,,10.0,23612.0,23636.0,
2016-06,monthly,Whole,ANAC,0.0,0.0,18.0,,,18.0,22492.0,22528.0,
2016-07,monthly,Whole,ANAC,3.5927152317880795,1.4072847682119205,14.0,,,14.0,24511.0,24544.0,
2016-08,monthly,Whole,ANAC,1.4370860927152318,0.5629139072847682,6.0,,,6.0,32363.0,32377.0,
2016-09,monthly,Whole,ANAC,0.0,0.0,34.0,,,34.0,25484.0,25552.0,
2016-10,monthly,Whole,ANAC,0.0,0.0,18.0,,,18.0,28694.0,28730.0,
2016-11,monthly,Whole,ANAC,0.7185430463576159,0.2814569536423841,21.0,,,21.0,31619.0,31662.0,
2016-12,monthly,Whole,ANAC,2.1556291390728477,0.8443708609271523,13.0,,,13.0,27279.0,27308.0,
2017-01,monthly,Whole,ANAC,2.8741721854304636,1.1258278145695364,14.0,,,14.0,23773.0,23805.0,
2017-02,monthly,Whole,ANAC,2.1556291390728477,0.8443708609271523,8.0,,,8.0,29620.0,29639.0,
2017-03,monthly,Whole,ANAC,3.5927152317880795,1.4072847682119205,16.0,,,16.0,29602.0,29639.0,
2017-04,monthly,Whole,ANAC,5.029801324503311,1.970198675496689,29.0,,,29.0,24610.0,24675.0,
2017-05,monthly,Whole,ANAC,26.58609271523179,10.413907284768213,21.0,,,21.0,29831.0,29910.0,
2017-06,monthly,Whole,ANAC,6.466887417218543,2.533112582781457,29.0,,,29.0,27259.0,27326.0,
2017-07,monthly,Whole,ANAC,0.0,0.0,26.0,,,26.0,28040.0,28092.0,
2017-08,monthly,Whole,ANAC,13.652317880794701,5.347682119205298,27.0,,,27.0,35281.0,35354.0,
2017-09,monthly,Whole,ANAC,5.748344370860927,2.251655629139073,49.0,,,49.0,35355.0,35461.0,
2017-10,monthly,Whole,ANAC,2.1556291390728477,0.8443708609271523,51.0,,,51.0,30009.0,30114.0,
2017-11,monthly,Whole,ANAC,10.059602649006623,3.940397350993378,54.0,,,54.0,34336.0,34458.0,
2017-12,monthly,Whole,ANAC,20.119205298013245,7.880794701986756,79.0,,,79.0,34572.0,34758.0,
2018-01,monthly,Whole,ANAC,2.8741721854304636,1.1258278145695364,68.0,,,68.0,35182.0,35322.0,
2018-02,monthly,Whole,ANAC,5.029801324503311,1.970198675496689,59.0,,,59.0,29302.0,29427.0,
2018-03,monthly,Whole,ANAC,23.711920529801326,9.288079470198676,98.0,,,98.0,33126.0,33355.0,
2018-04,monthly,Whole,ANAC,10.059602649006623,3.940397350993378,76.0,,,76.0,35304.0,35470.0,
2018-05,monthly,Whole,ANAC,5.029801324503311,1.970198675496689,55.0,,,55.0,35211.0,35328.0,
2018-06,monthly,Whole,ANAC,7.903973509933775,3.096026490066225,72.0,,,72.0,33073.0,33228.0,
2018-07,monthly,Whole,ANAC,20.119205298013245,7.880794701986756,59.0,,,59.0,31139.0,31285.0,
2018-08,monthly,Whole,ANAC,12.215231788079471,4.78476821192053,106.0,,,106.0,38500.0,38729.0,
2018-09,monthly,Whole,ANAC,16.526490066225165,6.473509933774833,77.0,,,77.0,39086.0,39263.0,
2018-10,monthly,Whole,ANAC,10.778145695364238,4.2218543046357615,82.0,,,82.0,36953.0,37132.0,
2018-11,monthly,Whole,ANAC,15.80794701986755,6.19205298013245,54.0,,,54.0,33388.0,33518.0,
2018-12,monthly,Whole,ANAC,11.496688741721854,4.503311258278146,60.0,,,60.0,34845.0,34981.0,
2019-01,monthly,Whole,ANAC,13.0,10.0,50.0,,,50.0,36420.0,36543.0,
2019-02,monthly,Whole,ANAC,15.0,3.0,49.0,,,49.0,27796.0,27912.0,
2019-03,monthly,Whole,ANAC,11.0,5.0,67.0,,,67.0,30049.0,30199.0,
2019-04,monthly,Whole,ANAC,36.0,5.0,104.0,,,104.0,32467.0,32716.0,
2019-05,monthly,Whole,ANAC,11.0,8.0,88.0,,,88.0,31009.0,31204.0,
2019-06,monthly,Whole,ANAC,9.0,8.0,60.0,,,60.0,28309.0,28446.0,
2019-07,monthly,Whole,ANAC,17.0,3.0,70.0,,,70.0,31314.0,31474.0,
2019-08,monthly,Whole,ANAC,20.0,15.0,100.0,,,100.0,32824.0,33059.0,
2019-09,monthly,Whole,ANAC,40.0,11.0,79.0,,,79.0,37716.0,37925.0,
2019-10,monthly,Whole,ANAC,6.0,6.0,52.0,,,52.0,27922.0,28038.0,
2019-11,monthly,Whole,ANAC,33.0,3.0,75.0,,,75.0,24086.0,24272.0,
2019-12,monthly,Whole,ANAC,6.0,8.0,56.0,,,56.0,30964.0,31090.0,
2020-01,monthly,Whole,ANAC,11.0,6.0,57.0,,,57.0,31973.0,32104.0,
2020-02,monthly,Whole,ANAC,9.0,3.0,74.0,,,74.0,24868.0,25028.0,
2020-03,monthly,Whole,ANAC,31.0,6.0,48.0,,,48.0,18923.0,19056.0,
2020-04,monthly,Whole,ANAC,3.0,3.0,16.0,,,16.0,8868.0,8906.0,
2020-05,monthly,Whole,ANAC,0.0,2.0,10.0,,,10.0,8659.0,8681.0,
2020-06,monthly,Whole,ANAC,2.0,2.0,12.0,,,12.0,8943.0,8971.0,
2020-07,monthly,Whole,ANAC,8.0,2.0,19.0,,,19.0,11416.0,11464.0,
2020-08,monthly,Whole,ANAC,4.0,7.0,43.0,,,43.0,18940.0,19037.0,
2020-09,monthly,Whole,ANAC,7.0,9.0,61.0,,,61.0,31759.0,31897.0,
2020-10,monthly,Whole,ANAC,5.0,18.0,131.0,,,131.0,35958.0,36243.0,
2020-11,monthly,Whole,ANAC,36.0,9.0,144.0,,,144.0,29153.0,29486.0,
2020-12,monthly,Whole,ANAC,41.0,12.0,81.0,,,81.0,27747.0,27962.0,
2021-01,monthly,Whole,ANAC,10.0,8.0,71.0,,,71.0,24824.0,24984.0,
2021-02,monthly,Whole,ANAC,23.0,5.0,91.0,,,91.0,24281.0,24491.0,
2021-03,monthly,Whole,ANAC,25.0,2.0,98.0,,,98.0,32288.0,32511.0,
2021-04,monthly,Whole,ANAC,43.0,4.0,76.0,,,76.0,27042.0,27241.0,
2021-05,monthly,Whole,ANAC,16.0,13.0,94.0,,,94.0,33913.0,34130.0,
2021-06,monthly,Whole,ANAC,80.0,45.0,205.0,,,205.0,34964.0,35499.0,
2021-07,monthly,Whole,ANAC,47.0,20.0,228.0,,,228.0,37703.0,38226.0,
2021-08,monthly,Whole,ANAC,38.0,41.0,308.0,,,308.0,36869.0,37564.0,
2021-09,monthly,Whole,ANAC,54.0,29.0,169.0,,,169.0,42206.0,42627.0,
2021-10,monthly,Whole,ANAC,50.0,42.0,146.0,,,146.0,38167.0,38551.0,
2021-11,monthly,Whole,ANAC,85.0,61.0,109.0,,,109.0,38617.0,38981.0,
2021-12,monthly,Whole,ANAC,85.0,30.0,201.0,,,201.0,40259.0,40776.0,
2022-01,monthly,Whole,ANAC,53.0,31.0,93.0,,,93.0,37011.0,37281.0,
2022-02,monthly,Whole,ANAC,87.0,72.0,113.0,,,113.0,31360.0,31745.0,
2022-03,monthly,Whole,ANAC,43.0,52.0,226.0,,,226.0,40920.0,41467.0,
2022-04,monthly,Whole,ANAC,105.0,37.0,173.0,,,173.0,37379.0,37867.0,
2022-05,monthly,Whole,ANAC,155.0,39.0,291.0,,,291.0,37111.0,37887.0,
2022-06,monthly,Whole,ANAC,110.0,43.0,235.0,,,235.0,35583.0,36206.0,
2022-07,monthly,Whole,ANAC,192.0,9.0,69.0,,,69.0,37967.0,38306.0,
2022-08,monthly,Whole,ANAC,74.0,39.0,176.0,,,176.0,34553.0,35018.0,
2022-09,monthly,Whole,ANAC,83.0,34.0,278.0,,,278.0,36045.0,36718.0,
2022-10,monthly,Whole,ANAC,177.0,37.0,238.0,,,238.0,27952.0,28642.0,
2022-11,monthly,Whole,ANAC,87.0,31.0,401.0,,,401.0,30788.0,31708.0,
2022-12,monthly,Whole,ANAC,129.0,50.0,259.0,,,259.0,33235.0,33932.0,
2023-01,monthly,Whole,ANAC,136.0,16.0,199.0,,,0.0,27266.0,27617.0,
2023-02,monthly,Whole,ANAC,239.0,19.0,210.0,,,10.0,25742.0,26220.0,
2023-03,monthly,Whole,ANAC,113.0,26.0,202.0,,,62.0,37157.0,37560.0,
2023-04,monthly,Whole,ANAC,63.0,34.0,217.0,,,22.0,19186.0,19522.0,
2023-05,monthly,Whole,ANAC,51.0,24.0,298.0,,,33.0,25210.0,25616.0,
2023-06,monthly,Whole,ANAC,176.0,35.0,354.0,,,23.0,22088.0,22676.0,
2023-07,monthly,Whole,ANAC,46.0,33.0,325.0,,,16.0,22631.0,23051.0,
2023-08,monthly,Whole,ANAC,81.0,73.0,612.0,,,42.0,27506.0,28314.0,
2023-09,monthly,Whole,ANAC,72.0,44.0,262.0,,,17.0,25108.0,25503.0,
2023-10,monthly,Whole,ANAC,262.0,55.0,387.0,,,18.0,24331.0,25053.0,
2023-11,monthly,Whole,ANAC,161.0,57.0,437.0,,,13.0,24962.0,25630.0,
2023-12,monthly,Whole,ANAC,206.0,70.0,273.0,,,20.0,26534.0,27103.0,
2024-01,monthly,Whole,ANAC,70.0,60.0,323.0,,,15.0,24649.0,25117.0,
2024-02,monthly,Whole,ANAC,85.0,35.0,287.0,,,17.0,22026.0,22450.0,
2024-03,monthly,Whole,ANAC,325.0,103.0,412.0,,,21.0,22664.0,23525.0,
2024-04,monthly,Whole,ANAC,347.0,93.0,555.0,,,22.0,24473.0,25490.0,
2024-05,monthly,Whole,ANAC,373.0,81.0,465.0,,,13.0,22405.0,23337.0,
2024-06,monthly,Whole,ANAC,535.0,103.0,728.0,,,5.0,21196.0,22567.0,
2024-07,monthly,Whole,ANAC,256.0,104.0,549.0,,,13.0,24165.0,25087.0,
2024-08,monthly,Whole,ANAC,256.0,117.0,900.0,,,13.0,27049.0,28335.0,
2024-09,monthly,Whole,ANAC,418.0,92.0,515.0,,,3.0,24737.0,25765.0,
2024-10,monthly,Whole,ANAC,530.0,94.0,609.0,,,5.0,26391.0,27629.0,
2024-11,monthly,Whole,ANAC,501.0,106.0,506.0,,,13.0,23977.0,25103.0,
2024-12,monthly,Whole,ANAC,811.0,159.0,507.0,,,11.0,26203.0,27691.0,
2025-01,monthly,Whole,ANAC,468.0,145.0,605.0,,,0.0,24616.0,25834.0,
2025-02,monthly,Whole,ANAC,274.0,89.0,570.0,,,0.0,20111.0,21044.0,
2025-03,monthly,Whole,ANAC,375.0,150.0,685.0,,,0.0,22790.0,24000.0,
2025-04,monthly,Whole,ANAC,560.0,207.0,728.0,,,0.0,24637.0,26132.0,
2025-05,monthly,Whole,ANAC,441.0,257.0,727.0,,,0.0,22912.0,24337.0,
2025-06,monthly,Whole,ANAC,419.0,372.0,796.0,,,0.0,22694.0,24281.0,
2025-07,monthly,Whole,ANAC,485.0,192.0,1007.0,,,0.0,25225.0,26909.0,
2025-08,monthly,Whole,ANAC,389.0,392.0,1239.0,,,0.0,25442.0,27462.0,
2025-09,monthly,Whole,ANAC,461.0,385.0,2298.0,0.0,0.0,0.0,28727.0,31871.0,
2025-10,monthly,Whole,ANAC,392.0,366.0,2379.0,0.0,0.0,0.0,20394.0,23531.0,
2025-11,monthly,Whole,ANAC,453.0,284.0,2908.0,0.0,0.0,0.0,21975.0,25620.0,
2025-12,monthly,Whole,ANAC,795.0,398.0,3042.0,0.0,0.0,0.0,25342.0,29577.0,
2026-01,monthly,Whole,ANAC,302.0,420.0,1076.0,0.0,0.0,0.0,23503.0,25301.0,
2026-02,monthly,Whole,ANAC,492.0,424.0,777.0,0.0,0.0,0.0,20625.0,22318.0,
2026-03,monthly,Whole,ANAC,1008.0,766.0,1812.0,0.0,0.0,0.0,23772.0,27358.0,
