period,time_interval,variant,source,BEV,PHEV,HEV,OTHERS,ICE,TOTAL,notes
2017-01,monthly,Whole,motir.go.kr,369.0,4.0,3925.0,5.0,119281.0,123584.0,
2017-02,monthly,Whole,https://www.motir.go.kr#anchor1,486.0,32.0,4465.0,0.0,131850.0,136833.0,
2017-03,monthly,Whole,https://www.kama.or.kr/NewsController?cmd=V&boardmaster_id=Register&board_id=497&menunum=0003&searchGubun=&searchValue=&pagenum=1,874.0,16.0,5895.0,9.0,162206.0,169000.0,
2017-04,monthly,Whole,https://www.motir.go.kr/kor/article/ATCL3f49a5a8c?mno=&rowPageC=0&displayAuthor=&searchCategory=1&schClear=on&startDtD=&endDtD=&searchCondition=1&searchKeyword=ìëì°¨ì°ì+ëí¥,862.0,25.0,6364.0,1.0,146326.0,153578.0,
2017-05,monthly,Whole,motir.go.kr,854.0,19.0,7116.0,6.0,147740.0,155735.0,
2017-06,monthly,Whole,motir.go.kr,972.0,39.0,8628.0,18.0,155062.0,164719.0,
2017-07,monthly,Whole,motir.go.kr,1371.0,61.0,8061.0,10.0,139637.0,149140.0,
2017-08,monthly,Whole,motir.go.kr,1499.0,41.0,6344.0,4.0,131219.0,139107.0,
2017-09,monthly,Whole,motir.go.kr,1494.0,32.0,7953.0,1.0,145038.0,154518.0,
2017-10,monthly,Whole,motir.go.kr,1240.0,20.0,6695.0,0.0,122256.0,130211.0,
2017-11,monthly,Whole,motir.go.kr,2042.0,28.0,9567.0,7.0,151695.0,163339.0,
2017-12,monthly,Whole,motir.go.kr,1478.0,35.0,8774.0,61.0,143178.0,153526.0,
2018-01,monthly,Whole,motir.go.kr,1105.0,35.0,6327.0,17.0,126655.0,134139.0,
2018-02,monthly,Whole,motir.go.kr,1180.0,16.0,6171.0,0.0,118603.0,125970.0,
2018-03,monthly,Whole,motir.go.kr,1753.0,50.0,7558.0,11.0,157109.0,166481.0,
2018-04,monthly,Whole,motir.go.kr,1569.0,74.0,6587.0,51.0,152461.0,160742.0,
2018-05,monthly,Whole,motir.go.kr,2372.0,41.0,7557.0,62.0,147739.0,157771.0,
2018-06,monthly,Whole,motir.go.kr,3885.0,179.0,6935.0,55.0,144678.0,155732.0,
2018-07,monthly,Whole,motir.go.kr,3060.0,47.0,6989.0,29.0,144681.0,154806.0,
2018-08,monthly,Whole,motir.go.kr,1971.0,54.0,6572.0,43.0,137446.0,146086.0,
2018-09,monthly,Whole,motir.go.kr,2994.0,56.0,5623.0,49.0,119031.0,127753.0,
2018-10,monthly,Whole,motir.go.kr,3799.0,74.0,9326.0,127.0,147555.0,160881.0,
2018-11,monthly,Whole,motir.go.kr,3770.0,69.0,11777.0,160.0,146972.0,162748.0,
2018-12,monthly,Whole,motir.go.kr,1674.0,1333.0,10491.0,103.0,146232.0,159833.0,
2019-01,monthly,Whole,motir.go.kr,1105.0,35.0,6367.0,17.0,128633.0,136157.0,
2019-02,monthly,Whole,motir.go.kr,813.0,84.0,6521.0,72.0,108639.0,116129.0,
2019-03,monthly,Whole,motir.go.kr,3852.0,125.0,7896.0,235.0,87809.0,99917.0,
2019-04,monthly,Whole,motir.go.kr,3941.0,112.0,8693.0,363.0,159799.0,172908.0,
2019-05,monthly,Whole,motir.go.kr,4148.0,649.0,8664.0,461.0,139826.0,153748.0,
2019-06,monthly,Whole,motir.go.kr,3271.0,529.0,9327.0,478.0,131226.0,144831.0,
2019-07,monthly,Whole,motir.go.kr,3326.0,362.0,8381.0,352.0,138670.0,151091.0,
2019-08,monthly,Whole,motir.go.kr,2315.0,269.0,5733.0,247.0,128380.0,136944.0,
2019-09,monthly,Whole,motir.go.kr,2102.0,129.0,6761.0,454.0,114053.0,123499.0,
2019-10,monthly,Whole,motir.go.kr,2343.0,111.0,8737.0,608.0,145662.0,157461.0,
2019-11,monthly,Whole,motir.go.kr,2864.0,810.0,8393.0,699.0,147820.0,160586.0,
2019-12,monthly,Whole,motir.go.kr,1882.0,1164.0,11928.0,288.0,158636.0,173898.0,
2020-01,monthly,Whole,motir.go.kr,181.0,283.0,6949.0,81.0,108635.0,116129.0,
2020-02,monthly,Whole,motir.go.kr,1209.0,235.0,4454.0,443.0,91556.0,97897.0,
2020-03,monthly,Whole,motir.go.kr,5870.0,536.0,10543.0,706.0,156301.0,173956.0,
2020-04,monthly,Whole,motir.go.kr,2618.0,585.0,12871.0,795.0,150506.0,167375.0,
2020-05,monthly,Whole,motir.go.kr,2572.0,509.0,13889.0,270.0,151538.0,168778.0,
2020-06,monthly,Whole,motir.go.kr,4759.0,751.0,16034.0,317.0,183848.0,205709.0,
2020-07,monthly,Whole,motir.go.kr,2401.0,649.0,13610.0,700.0,147179.0,164539.0,
2020-08,monthly,Whole,motir.go.kr,3849.0,585.0,10821.0,675.0,119419.0,135349.0,
2020-09,monthly,Whole,motir.go.kr,6815.0,3076.0,14023.0,461.0,138341.0,162716.0,
2020-10,monthly,Whole,motir.go.kr,3596.0,957.0,15957.0,640.0,139001.0,160151.0,
2020-11,monthly,Whole,motir.go.kr,3513.0,1732.0,22608.0,365.0,143010.0,171228.0,
2020-12,monthly,Whole,motir.go.kr,2329.0,3337.0,19692.0,333.0,138289.0,163980.0,
2021-01,monthly,Whole,motir.go.kr,313.0,1654.0,15883.0,142.0,119700.0,137692.0,
2021-02,monthly,Whole,motir.go.kr,2130.0,1597.0,14047.0,568.0,104975.0,123317.0,
2021-03,monthly,Whole,motir.go.kr,8992.0,2036.0,18354.0,934.0,141024.0,171340.0,
2021-04,monthly,Whole,motir.go.kr,4314.0,1811.0,17879.0,1265.0,135828.0,161097.0,
2021-05,monthly,Whole,motir.go.kr,9223.0,2043.0,14961.0,756.0,124716.0,151699.0,
2021-06,monthly,Whole,motir.go.kr,13514.0,2161.0,18468.0,751.0,130865.0,165759.0,
2021-07,monthly,Whole,motir.go.kr,7322.0,1409.0,20600.0,490.0,117876.0,147697.0,
2021-08,monthly,Whole,motir.go.kr,11205.0,1076.0,19307.0,556.0,98253.0,130397.0,
2021-09,monthly,Whole,motir.go.kr,10482.0,2204.0,16803.0,939.0,83504.0,113932.0,
2021-10,monthly,Whole,motir.go.kr,10934.0,1850.0,20413.0,940.0,91159.0,125296.0,
2021-11,monthly,Whole,motir.go.kr,10602.0,820.0,21582.0,865.0,109946.0,143815.0,
2021-12,monthly,Whole,motir.go.kr,6711.0,1040.0,22658.0,296.0,123037.0,153742.0,
2022-01,monthly,Whole,motir.go.kr,1525.0,948.0,14782.0,319.0,93720.0,111294.0,
2022-02,monthly,Whole,motir.go.kr,10345.0,1257.0,18699.0,650.0,91979.0,122930.0,
2022-03,monthly,Whole,motir.go.kr,13656.0,1936.0,22747.0,445.0,99864.0,138648.0,
2022-04,monthly,Whole,motir.go.kr,12468.0,1185.0,24677.0,1294.0,103543.0,143167.0,
2022-05,monthly,Whole,motir.go.kr,14392.0,891.0,24450.0,1270.0,104461.0,145464.0,
2022-06,monthly,Whole,motir.go.kr,12173.0,970.0,25443.0,907.0,106609.0,146102.0,
2022-07,monthly,Whole,motir.go.kr,14708.0,902.0,21552.0,573.0,105558.0,143293.0,
2022-08,monthly,Whole,motir.go.kr,14438.0,979.0,18830.0,980.0,96411.0,131638.0,
2022-09,monthly,Whole,motir.go.kr,20485.0,841.0,19176.0,1083.0,98657.0,140242.0,
2022-10,monthly,Whole,motir.go.kr,18684.0,954.0,18873.0,1101.0,104751.0,144363.0,
2022-11,monthly,Whole,motir.go.kr,15403.0,1213.0,24892.0,1096.0,113338.0,155942.0,
2022-12,monthly,Whole,motir.go.kr,5942.0,1038.0,26823.0,446.0,129731.0,163980.0,
2023-01,monthly,Whole,motir.go.kr,642.0,423.0,21290.0,307.0,115030.0,137692.0,
2023-02,monthly,Whole,motir.go.kr,17824.0,606.0,25306.0,884.0,102411.0,147031.0,
2023-03,monthly,Whole,motir.go.kr,17400.0,924.0,32699.0,694.0,114134.0,165851.0,
2023-04,monthly,Whole,motir.go.kr,14339.0,962.0,29306.0,327.0,104440.0,149374.0,
2023-05,monthly,Whole,motir.go.kr,13544.0,1311.0,32010.0,410.0,104915.0,152190.0,
2023-06,monthly,Whole,motir.go.kr,14753.0,1505.0,35318.0,305.0,110818.0,162699.0,
2023-07,monthly,Whole,motir.go.kr,12848.0,990.0,27953.0,371.0,93927.0,136089.0,
2023-08,monthly,Whole,motir.go.kr,9553.0,900.0,28735.0,293.0,91186.0,130667.0,
2023-09,monthly,Whole,motir.go.kr,13606.0,955.0,27927.0,287.0,90987.0,133762.0,
2023-10,monthly,Whole,motir.go.kr,15419.0,527.0,32763.0,189.0,92452.0,141350.0,
2023-11,monthly,Whole,motir.go.kr,15829.0,816.0,41139.0,232.0,102460.0,160476.0,
2023-12,monthly,Whole,motir.go.kr,11117.0,877.0,39865.0,79.0,91311.0,143249.0,
2024-01,monthly,Whole,motir.go.kr,1597.0,588.0,35650.0,2.0,78315.0,116152.0,
2024-02,monthly,Whole,motir.go.kr,3583.0,545.0,35714.0,343.0,75560.0,115745.0,
2024-03,monthly,Whole,motir.go.kr,20225.0,585.0,40402.0,285.0,84522.0,146019.0,
2024-04,monthly,Whole,motir.go.kr,10901.0,565.0,39920.0,293.0,89431.0,141110.0,
2024-05,monthly,Whole,motir.go.kr,13376.0,630.0,38506.0,380.0,88421.0,141313.0,
2024-06,monthly,Whole,motir.go.kr,15053.0,497.0,37385.0,437.0,84519.0,137891.0,
2024-07,monthly,Whole,motir.go.kr,15097.0,870.0,34211.0,400.0,81818.0,132396.0,
2024-08,monthly,Whole,motir.go.kr,15620.0,702.0,34922.0,468.0,76488.0,128200.0,
2024-09,monthly,Whole,motir.go.kr,12096.0,846.0,45773.0,268.0,71702.0,130685.0,
2024-10,monthly,Whole,motir.go.kr,12717.0,872.0,49257.0,184.0,82726.0,145756.0,
2024-11,monthly,Whole,motir.go.kr,15716.0,1243.0,50021.0,111.0,80750.0,147841.0,
2024-12,monthly,Whole,motir.go.kr,5732.0,1231.0,53815.0,48.0,81599.0,142425.0,
2025-01,monthly,Whole,motir.go.kr,1663.0,1092.0,36055.0,30.0,67088.0,105928.0,
2025-02,monthly,Whole,motir.go.kr,14179.0,1204.0,44615.0,296.0,72560.0,132854.0,
2025-03,monthly,Whole,motir.go.kr,18431.0,1302.0,49617.0,401.0,79766.0,149517.0,
2025-04,monthly,Whole,motir.go.kr,16239.0,1329.0,51862.0,212.0,80980.0,150622.0,
2025-05,monthly,Whole,motir.go.kr,21416.0,1360.0,50254.0,118.0,68717.0,141865.0,
2025-06,monthly,Whole,motir.go.kr,20314.0,1000.0,51239.0,161.0,73128.0,145842.0,
2025-07,monthly,Whole,motir.go.kr,24366.0,1178.0,46762.0,1107.0,65090.0,138503.0,
2025-08,monthly,Whole,motir.go.kr,24344.0,997.0,43809.0,1292.0,68382.0,138824.0,
2025-09,monthly,Whole,motir.go.kr,28760.0,1218.0,41973.0,1285.0,84662.0,157898.0,
2025-10,monthly,Whole,motir.go.kr,19318.0,801.0,42857.0,687.0,63475.0,127138.0,
2025-11,monthly,Whole,motir.go.kr,18166.0,988.0,51094.0,572.0,75421.0,146241.0,
2025-12,monthly,Whole,motir.go.kr,9255.0,1150.0,56383.0,386.0,77708.0,144882.0,
2026-01,monthly,Whole,motir.go.kr,10101.0,911.0,46488.0,119.0,63197.0,120816.0,
2026-02,monthly,Whole,motir.go.kr,36332,870,38468,467,47138,123275,
2026-03,monthly,Whole,motir.go.kr,41237,1031,54516,1120,66906,164810,taken from Robbie, scraping yet to implement
2026-04,monthly,Whole,motir.go.kr,38927,951,50782,500,60533,151693,taken from Robbie, scraping yet to implement
